[05:56:31] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[05:56:31] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[05:56:31] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/Ann/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[05:56:40] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:56:42] [main/INFO]: Loaded 7 recipes
[05:56:43] [main/INFO]: Loaded 1271 advancements
[05:56:43] [Server thread/INFO]: Starting minecraft server version 1.20.1
[05:56:43] [Server thread/INFO]: Loading properties
[05:56:43] [Server thread/INFO]: Default game type: SURVIVAL
[05:56:43] [Server thread/INFO]: Generating keypair
[05:56:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:56:43] [Server thread/INFO]: Using epoll channel type
[05:56:44] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:56:44] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:56:44] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:56:44] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:56:44] [Server thread/INFO]: Preparing level "world"
[05:56:56] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:56:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:56:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[05:57:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
